question_id,genre_id,question,option1,option2,option3,option4,answer,explanation
1,1,"태양계에서 가장 큰 행성은?",지구,토성,목성,해왕성,목성,"목성은 태양계에서 가장 큰 행성으로, 직경이 약 143,000km에 달합니다."
2,1,"빛이 진공에서 1초 동안 진행하는 거리는?","약 30만 km","약 15만 km","약 10만 km","약 50만 km","약 30만 km","빛의 속도는 약 299,792km/s로, 흔히 약 30만 km/s로 간주됩니다."
3,1,"DNA의 이중 나선 구조를 발견한 과학자는?","왓슨과 크릭",멘델,다윈,파스퇴르,"왓슨과 크릭","제임스 왓슨과 프랜시스 크릭은 1953년 DNA의 이중 나선 구조를 밝혀냈습니다."
4,1,"일반적으로 가장 가벼운 원소는?",헬륨,수소,리튬,산소,수소,"수소는 원자번호 1번으로, 가장 가벼운 원소입니다."
5,1,"대기의 주요 구성 성분 중 가장 많은 것은?",산소,이산화탄소,질소,아르곤,질소,"지구 대기의 약 78%는 질소로 구성되어 있습니다."
6,1,"일반적으로 사람의 정상 체온은 몇 도인가?",35도,36.5도,37.5도,38도,36.5도,"사람의 정상 체온은 평균적으로 약 36.5~37도입니다."
7,1,"뉴턴의 운동 법칙 중 "작용 반작용 법칙"은 몇 번째 법칙인가?",제1법칙,제2법칙,제3법칙,"해당 없음",제3법칙,"작용 반작용 법칙은 뉴턴의 제3법칙으로, "모든 작용에는 크기가 같고 방향이 반대인 반작용이 존재한다"는 내용입니다."
8,1,"우주에서 가장 흔한 원소는?",산소,탄소,수소,헬륨,수소,"수소는 우주 질량의 약 75%를 차지하는 가장 풍부한 원소입니다."
9,1,"지구 자전의 주된 원인은?","달의 인력","태양의 중력","원시 행성 형성 과정","대기 순환","원시 행성 형성 과정","지구의 자전은 태양계 형성 초기의 회전 운동이 유지되면서 발생했습니다."
10,1,"화학에서 원자의 중심에는 무엇이 있는가?",전자,중성자,"양성자와 중성자",쿼크,"양성자와 중성자","원자의 중심에는 양성자와 중성자로 이루어진 원자핵이 존재합니다."
11,1,"우리 눈이 색을 구별할 수 있는 이유는?",막대세포,원뿔세포,시신경,망막,원뿔세포,"원뿔세포는 빛의 파장을 감지해 색을 구별할 수 있도록 도와줍니다."
12,1,"소리의 속도가 가장 빠른 매질은?",공기,물,철,진공,철,"소리는 밀도가 높은 매질에서 더 빠르게 전달되며, 철에서 가장 빠르게 전파됩니다."
13,1,"지구의 내부 구조 중 가장 바깥층은?",내핵,맨틀,외핵,지각,지각,"지각은 지구의 가장 바깥층을 이루며, 상대적으로 얇은 층입니다."
14,1,"화성의 대기의 주요 성분은?",산소,질소,이산화탄소,수소,이산화탄소,"화성의 대기는 약 95%가 이산화탄소로 이루어져 있습니다."
15,1,"뉴턴의 운동 제2법칙의 공식은?","F = ma","E = mc^2","V = IR","P = mv","F = ma","뉴턴의 운동 제2법칙은 힘(F)은 질량(m)과 가속도(a)의 곱으로 표현됩니다."
16,1,"원자의 전자가 특정한 에너지를 흡수하면?",이온화된다,"기저 상태로 간다","들뜬 상태가 된다","질량이 증가한다","들뜬 상태가 된다","전자가 에너지를 흡수하면 높은 에너지 준위로 이동하여 들뜬 상태가 됩니다."
17,1,"지구에서 달이 완전히 가려지는 현상은?",개기월식,개기일식,부분월식,반영식,개기월식,"개기월식은 달이 완전히 지구의 그림자에 들어가 붉게 보이는 현상입니다."
18,1,"전기를 잘 전달하는 물질을 무엇이라 하는가?",부도체,반도체,도체,초전도체,도체,"전기를 잘 전달하는 물질을 도체라고 하며, 구리나 금이 대표적인 예입니다."
19,1,"대기 중 오존층은 어떤 층에 존재하는가?",대류권,성층권,중간권,열권,성층권,"오존층은 성층권에 위치하며, 태양의 자외선을 차단하는 역할을 합니다."
